
69: E:\catalog_data\imagews\training\Limbnight_ISS037-E-8939.jpg : 0.153
70: E:\catalog_data\imagews\training\Limbnight_ISS037-E-8938.jpg : 0.154
71: E:\catalog_data\imagews\training\Limbnight_ISS037-E-8936.jpg : 0.154
72: E:\catalog_data\imagews\training\ISS_ISS026-E-28067.jpg : 0.182
73: E:\catalog_data\imagews\training\ISS_ISS026-E-28062.jpg : 0.185
74: E:\catalog_data\imagews\training\Night_ISS028-E-26600.jpg : 0.252
75: E:\catalog_data\imagews\training\ISS_ISS026-E-28063.jpg : 0.255
76: E:\catalog_data\imagews\training\ISS_ISS026-E-28068.jpg : 0.258
77: E:\catalog_data\imagews\training\ISS_ISS026-E-28066.jpg : 0.302
78: E:\catalog_data\imagews\training\Night_ISS028-E-26604.jpg : 0.305
79: E:\catalog_data\imagews\training\Night_ISS028-E-26602.jpg : 0.306
80: E:\catalog_data\imagews\training\Night_ISS028-E-26601.jpg : 0.308
81: E:\catalog_data\imagews\training\Night_ISS028-E-26603.jpg : 0.310
82: E:\catalog_data\imagews\training\Night_ISS028-E-26606.jpg : 0.313
83: E:\catalog_data\imagews\training\Night_ISS028-E-26608.jpg : 0.314
84: E:\catalog_data\imagews\training\Night_ISS028-E-26607.jpg : 0.314
85: E:\catalog_data\imagews\training\Night_ISS028-E-26609.jpg : 0.325
86: E:\catalog_data\imagews\training\Night_ISS028-E-26605.jpg : 0.327
87: E:\catalog_data\imagews\training\Earthlimb_ISS009-E-21218.jpg : 0.332
88: E:\catalog_data\imagews\training\Night_ISS028-E-26611.jpg : 0.336
89: E:\catalog_data\imagews\training\Night_ISS028-E-26612.jpg : 0.337
90: E:\catalog_data\imagews\training\Night_ISS028-E-26610.jpg : 0.338
91: E:\catalog_data\imagews\training\Night_ISS028-E-26613.jpg : 0.346
92: E:\catalog_data\imagews\training\Night_ISS028-E-26614.jpg : 0.353
93: E:\catalog_data\imagews\training\Night_ISS028-E-26615.jpg : 0.360
94: E:\catalog_data\imagews\training\Night_ISS026-E-22033.jpg : 0.363
95: E:\catalog_data\imagews\training\ISS_ISS026-E-28064.jpg : 0.366
96: E:\catalog_data\imagews\training\Night_ISS028-E-26616.jpg : 0.377
97: E:\catalog_data\imagews\training\Night_ISS026-E-22037.jpg : 0.378
98: E:\catalog_data\imagews\training\Night_ISS028-E-26617.jpg : 0.402
99: E:\catalog_data\imagews\training\Night_ISS028-E-26618.jpg : 0.424
100: E:\catalog_data\imagews\training\Earthlimb_ISS009-E-21217.jpg : 0.445
101: E:\catalog_data\imagews\training\Night_ISS028-E-26620.jpg : 0.453
102: E:\catalog_data\imagews\training\Night_ISS028-E-26631.jpg : 0.455
103: E:\catalog_data\imagews\training\Night_ISS028-E-26619.jpg : 0.461
104: E:\catalog_data\imagews\training\Night_ISS028-E-26632.jpg : 0.464
105: E:\catalog_data\imagews\training\Night_ISS028-E-26625.jpg : 0.470
106: E:\catalog_data\imagews\training\Night_ISS028-E-26623.jpg : 0.471
107: E:\catalog_data\imagews\training\Night_ISS028-E-26630.jpg : 0.476
108: E:\catalog_data\imagews\training\Night_ISS028-E-26627.jpg : 0.479
109: E:\catalog_data\imagews\training\Night_ISS028-E-26626.jpg : 0.480
110: E:\catalog_data\imagews\training\Night_ISS028-E-26624.jpg : 0.484
111: E:\catalog_data\imagews\training\Night_ISS028-E-26621.jpg : 0.485
112: E:\catalog_data\imagews\training\Night_ISS028-E-26622.jpg : 0.489
113: E:\catalog_data\imagews\training\Night_ISS028-E-26629.jpg : 0.490
114: E:\catalog_data\imagews\training\Night_ISS028-E-26628.jpg : 0.501
115: E:\catalog_data\imagews\training\Earthlimb_ISS009-E-21219.jpg : 0.638
116: E:\catalog_data\imagews\training\Night_ISS026-E-22036.jpg : 0.663
117: E:\catalog_data\imagews\training\Night_ISS028-E-26266.jpg : 0.803
118: E:\catalog_data\imagews\training\Cloud_ISS009-E-13889.jpg : 1.098
119: E:\catalog_data\imagews\training\Earthlimb_ISS009-E-12153.jpg : 1.131
120: E:\catalog_data\imagews\training\Land_ISS009-E-28703.jpg : 1.185
121: E:\catalog_data\imagews\training\Land_ISS009-E-28700.jpg : 1.226
122: E:\catalog_data\imagews\training\Land_ISS009-E-25870.jpg : 1.227
123: E:\catalog_data\imagews\training\Earthlimb_ISS009-E-12146.jpg : 1.229
124: E:\catalog_data\imagews\training\Earthlimb_ISS009-E-12152.jpg : 1.280
125: E:\catalog_data\imagews\training\Land_ISS009-E-23870.jpg : 1.296
126: E:\catalog_data\imagews\training\Land_ISS009-E-14870.jpg : 1.299
127: E:\catalog_data\imagews\training\Cloud_ISS009-E-13888.jpg : 1.305
128: E:\catalog_data\imagews\training\Land_ISS009-E-28701.jpg : 1.317
129: E:\catalog_data\imagews\training\Night_ISS026-E-22034.jpg : 1.342
130: E:\catalog_data\imagews\training\Earthlimb_ISS009-E-12151.jpg : 1.368
131: E:\catalog_data\imagews\training\Land_ISS009-E-17870.jpg : 1.443
